username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Digital Health Portal,@digithealthport,2021-07-28T18:56:47.000Z,The future of AR shopping experience #HoloNext #AugmentedReality #AR #XR #VirtualReality #shopping #ecommerce #augmented #MixedReality #online #sanalgerçeklik #mobile #artırılmışgerçeklik #sanal #alışveriş #tech #technology #Teknoloji #Istanbul #Turkey,"From 
HoloNext",1,3,10,"[""['HoloNext', 'AugmentedReality', 'AR', 'XR', 'VirtualReality', 'shopping', 'ecommerce', 'augmented', 'MixedReality', 'online', 'sanalgerçeklik', 'mobile', 'artırılmışgerçeklik', 'sanal', 'alışveriş', 'tech', 'technology', 'Teknoloji', 'Istanbul', 'Turkey']""]"
osiplatformu,@osiplatformu,2021-08-01T15:01:46.000Z,"Kaynak: Medgaget
Science Daily

#ösip #ösipbülten #haberler #news #medgatget #science #technologynews #technology #teknolojihaberleri #gelecekiçinteknoloji #teknoloji #bilimhaberleri #biomedicalnews #biyomedikalhaberleri #sağlık #sağlıkhaberleri #sağlıkteknolojileri",,,,1,"[""['ösip', 'ösipbülten', 'haberler', 'news', 'medgatget', 'science', 'technologynews', 'technology', 'teknolojihaberleri', 'gelecekiçinteknoloji', 'teknoloji', 'bilimhaberleri', 'biomedicalnews', 'biyomedikalhaberleri', 'sağlık', 'sağlıkhaberleri', 'sağlıkteknolojileri']""]"
Bilgi Zamani,@ZamaniBilgi,2021-08-02T16:16:06.000Z," Clio + Tank = Clank 
.
#teknoloji #tasarım #Renault #araba",,,,1,"[""['teknoloji', 'tasarım', 'Renault', 'araba']""]"
Cheating Spouse,@TamannaIslamMe1,2021-07-27T06:27:01.000Z,"SMS Hack Remotely Without Access To Target Phone : https://blog.spouseware.net/sms-hack-remotely-without-access-to-target-phone/…
#Phone
#Apple
#cybersecurity
#cheating
#linux
#Hackers
#hacking
#machinelearning
#cybersecurity
#teknoloji
#hack
#facebook
#instagram
#hacked
#selfie
#twitter
#aşk
#messi
#leomessi",,,4,,"[""['Phone', 'Apple', 'cybersecurity', 'cheating', 'linux', 'Hackers', 'hacking', 'machinelearning', 'cybersecurity', 'teknoloji', 'hack', 'facebook', 'instagram', 'hacked', 'selfie', 'twitter', 'aşk', 'messi', 'leomessi']""]"
Batuhan Ülker,@BatuhanUlker07,2021-07-27T12:20:42.000Z,"#Teknoloji çok hızlı değişiyor.

Yakında cep telefonlarımızı ellerimizle değil, gözlerimizle kontrol edebileceğiz. 

Yeni yeni geliştirilen ve tanıtılan gözlerle telefon kontrol demosu 

Çok ilginç.",,,,90,"[""['Teknoloji']""]"
gülay ekren,@glayekren1,2021-07-27T19:26:32.000Z,"Instagram ve Twitter için gönder etiketleri:

#siyaset #gbp #güçbirliğipartisi #güçbirliğihareketi #AliKarnap #gündem #keşfet #teknoloji #Türkiye #Turkey #medya #sondakika #vatan #millet #politica #politician #politics #ekonomi #birliktegüçlüyüz #birliğingücü #güçbirliği #Ankara",Ali Karnap and 8 others,,2,15,"[""['siyaset', 'gbp', 'güçbirliğipartisi', 'güçbirliğihareketi', 'AliKarnap', 'gündem', 'keşfet', 'teknoloji', 'Türkiye', 'Turkey', 'medya', 'sondakika', 'vatan', 'millet', 'politica', 'politician', 'politics', 'ekonomi', 'birliktegüçlüyüz', 'birliğingücü', 'güçbirliği', 'Ankara']""]"
Erciyes Otonom,@erciyesotonom,2021-07-26T18:02:16.000Z,"2021 akü sponsorumuz Aküsan’a ve Değerli Ahmet Tutkun Bey’e teşekkür ederek çalışmalarında başarılar dileriz. 
 
#Teknofest2021 #Teknofest #Otonom #ErciyesÜniversitesi #Mühendislik #Bilim #Teknoloji #Akü #Aküsan",Aküsan,,1,5,"[""['Teknofest2021', 'Teknofest', 'Otonom', 'ErciyesÜniversitesi', 'Mühendislik', 'Bilim', 'Teknoloji', 'Akü', 'Aküsan']""]"
HALICI GROUP,@Halici_Group,2021-07-29T06:43:09.000Z,"Teknolojilerimiz dünyanın en büyük, en yüksek ve en ekstrem projelerinde destek oluyor.
Our #technologies support the world's largest, highest and most extreme projects.
#halıcıgroup #teknoloji #technology #dijitaldönüşüm #endüstri40 #yapayzeka #abbtürkiye #digitalization",,,3,4,"[""['technologies', 'halıcıgroup', 'teknoloji', 'technology', 'dijitaldönüşüm', 'endüstri40', 'yapayzeka', 'abbtürkiye', 'digitalization']""]"
Oѕмαɴ Tolɢα ÖZKAYA ®,@otolgaozkaya,2021-07-26T16:43:41.000Z,"Windows logosunun yıllar içindeki evrimi…

#Windows #Logo #LogoDesigns #LogoDesign #Teknoloji #Microsoft",,,,,"[""['Windows', 'Logo', 'LogoDesigns', 'LogoDesign', 'Teknoloji', 'Microsoft']""]"
Gıda Mühendisleri Derneği,@gidamuhder,2021-08-02T07:36:52.000Z,"| Online Söyleşi 

""İş Zekası Uzmanlığı Kariyer Yolculuğu""

 5 Ağustos 2021 Perşembe
| Online Söyleşi 

#gıdamuhder #gıda #gıdamühendisi #gıdamühendisliği #food #işzekası #teknoloji #bilgi #iletişim #powerbi

Söyleşimiz, Youtube uygulaması üzerinden gerçekleştirilecektir.",,,1,3,"[""['gıdamuhder', 'gıda', 'gıdamühendisi', 'gıdamühendisliği', 'food', 'işzekası', 'teknoloji', 'bilgi', 'iletişim', 'powerbi']""]"
KTÜ-TTM,@ttm_ktu,2021-08-02T08:05:40.000Z,"Doç.Dr. Önder AYDEMİR COST Programına Yönetim Komitesi Üyesi (MC) Olarak Atandı

#ktü #ktüttm #KtuEkolü #arge #bigg #proje #girişim #inovasyon #teknoloji #technology #ttm #knowledge",,,,,"[""['ktü', 'ktüttm', 'KtuEkolü', 'arge', 'bigg', 'proje', 'girişim', 'inovasyon', 'teknoloji', 'technology', 'ttm', 'knowledge']""]"
Nardatabank Bilişim ve Teknoloji A.Ş.,@Nardatabank,2021-07-28T08:47:03.000Z,"NarDC kurumsal mail servisi ile profesyonel bir şekilde maillerinizi yönetin.
.
.
#NarDC #Kurumsal #Mail #Servisi #Bilişim #Teknoloji #Sunucu #Başarılı #Sistem",,,4,9,"[""['NarDC', 'Kurumsal', 'Mail', 'Servisi', 'Bilişim', 'Teknoloji', 'Sunucu', 'Başarılı', 'Sistem']""]"
Multinet Up,@multinetcomtr,2021-07-27T09:02:04.000Z," “Multinet Up ile Teknoloji Gündemi”nde bu hafta, dünyanın en büyük #teknoloji şirketlerinden Amazon’un yönetimindeki değişiklikten bir haber var.

Amazon'u kurduğu günden beri CEO olarak görev yapan Jeff Bezos, resmi olarak görevinden istifa etti.","0:18
22 views",1,,1,"[""['teknoloji']""]"
Erciyes Otonom,@erciyesotonom,2021-07-28T13:35:44.000Z,"Bilgi köşemizde bugün; Teknofest 2021 Robotaksi yarışması için üzerine çalıştığımız yerli bileşenlerden biri olan “Şerit Takip Sistemi” nedir bir göz atalım! 

#Teknofest2021 #Teknofest #Otonom #ErciyesÜniversitesi #Mühendislik #Bilim #Teknoloji #şerittakipsistemi",,,1,4,"[""['Teknofest2021', 'Teknofest', 'Otonom', 'ErciyesÜniversitesi', 'Mühendislik', 'Bilim', 'Teknoloji', 'şerittakipsistemi']""]"
Gülten Doğrul,@GltenMeldekDoru,2021-08-01T12:54:42.000Z,#Akbilgitek #bilşim #teknoloji  #2023,"Quote Tweet
Dr. Ömer İleri
@DrOmerileri
 · Aug 1
#Kızılcahamam programımızın ikinci gününde başkanlarımızla birim çalışmalarımıza ve projelerimize ilişkin konuştuk.
Ardından soru cevap etkinliğine geçtik;  hedeflenen planlarımızın ve programlarımızın yol haritasını çıkarma fırsatı bulduk.
@AKbilgitek",,,2,"[""['Akbilgitek', 'bilşim', 'teknoloji', '2023']""]"
Orhan Samast,@orhansamast,2021-07-30T14:59:29.000Z,"Geleceğe dair en önemli 2 ana başlık
“Çevre ve Teknoloji”.
Gelecek bu iki başlık etrafında şekillenecek. #çevre #teknoloji",,,,10,"[""['çevre', 'teknoloji']""]"
hatice r. bozdemir,@htcbzdmr,2021-07-27T10:02:00.000Z,"Ah nerede o eski mauselar  kapaklarını açıp, topunu çıkartıp temizledik mi yıllarca çalışırdı. Şimdi aldığımız mause markası ne olursa olsun bir yıl gitmiyor.  #pazartesi #teknoloji",,,,1,"[""['pazartesi', 'teknoloji']""]"
Multinet Up,@multinetcomtr,2021-07-27T09:02:04.000Z," “Multinet Up ile Teknoloji Gündemi”nde bu hafta, dünyanın en büyük #teknoloji şirketlerinden Amazon’un yönetimindeki değişiklikten bir haber var.

Amazon'u kurduğu günden beri CEO olarak görev yapan Jeff Bezos, resmi olarak görevinden istifa etti.","22 views
0:05 / 0:21",1,,1,"[""['teknoloji']""]"
Metal Dünyası,@metal_dunyasi,2021-07-30T14:24:53.000Z,"Yeşil Alüminyum-1

Okumak İçin: https://bit.ly/MetalDünyası_TD%C3%BCnyas%C4%B1_Temmuz_ErmanCar…

#yeşil #alüminyum #endüstri #hammadde #madencilik #teknoloji #ermancar #metalurji #metaldünyası #prestijyayıncılık",,,2,4,"[""['yeşil', 'alüminyum', 'endüstri', 'hammadde', 'madencilik', 'teknoloji', 'ermancar', 'metalurji', 'metaldünyası', 'prestijyayıncılık']""]"
