username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Method Research,@MethodResearch,2021-02-12T12:27:20.000Z,#yerliurun,,,5,9,['yerliurun']
INOSAS,@InosasIT,2017-12-12T06:32:53.000Z,"Yerli Yazılımımız GOO Service Manager®
INOSAS olarak hedefimize ulaştık gururluyuz!
#yazilim #goosm #itsm #yerlimali #yerliurun #servicemanagement",,,3,8,"['yazilim', 'goosm', 'itsm', 'yerlimali', 'yerliurun', 'servicemanagement']"
INOSAS,@InosasIT,2017-11-22T12:18:14.000Z,"GOO Service Manager® artık Yerli Yazılım!
INOSAS olarak geliştirdiğimiz GOO® Servis Masası yazılım ürünümüze uzun uğraşlar sonucunda Yerli Malı Belgesi almış bulunmaktayız.
#yazilim #yerlimali #yerliurun #goosm #servicemanagement",,,34,39,"['yazilim', 'yerlimali', 'yerliurun', 'goosm', 'servicemanagement']"
ViaVeta Türkiye,@viavetatr,2018-09-21T15:24:46.000Z,"ViaVeta Ürünleri Türkiye'de üretilmekte olup, yerli ve milli bir üründür!

http://viaveta.com.tr

#viaveta #yerliurun #milliürün #türkiye",,,,6,"['viaveta', 'yerliurun', 'milliürün', 'türkiye']"
Haber_kaldirildi,@kaldirildi_d,2018-09-11T09:36:54.000Z,"CHP'li Kaya'dan Yerli Ürün Çağrısı
http://bit.ly/2Mljj2P  
@AhmetKayaCHP
 @CHPCalisiyor
 @herkesicinCHP
 @CHPYerel
 #yerliurun #TBMM #Siyaset",,,3,10,"['yerliurun', 'TBMM', 'Siyaset']"
cameliuretenkadinlar,@Camkad20,2019-03-26T17:56:55.000Z,"çörekotunun soğuk sıkım yağ çıkarma işlemi #cameli #yerliurun #çörekotu #soguksıkım
#çameliüretenkadınlarderneği",,,1,1,"['cameli', 'yerliurun', 'çörekotu', 'soguksıkım', 'çameliüretenkadınlarderneği']"
Dr. Dilek Özgün Ekiz,@dilekozgunekiz,2020-10-28T13:07:14.000Z,"#ersag 
#yerliurun
#millisermaye",,,,2,"['ersag', 'yerliurun', 'millisermaye']"
Jefe Gıda,@jefefood,2016-12-16T12:07:54.000Z,#yerlimalihaftasi #yerliurun #milliurun #yerlimali #yerlisermaye #jefe,,,,,"['yerlimalihaftasi', 'yerliurun', 'milliurun', 'yerlimali', 'yerlisermaye', 'jefe']"
Yerli Tüket,@yerlituket,2020-02-10T14:00:09.000Z,Ülkemizde yerli ürüne ‘tüketici’ röntgeni https://yerlituket.com/yazi/ulkemizde-yerli-urune-tuketici-rontgeni?ref=twitter… #YerliTüket #yerliurun #yerliuretim #yerliuretici #Yerli,"Ülkemizde yerli ürüne ‘tüketici’ röntgeni - Yerli Tüket - Yerli Ürünler, Yerli Markalar ve Bilgileri
Ticaret Bakanlığı, yerli ürün tüketimini özendirerek görünürlüğü ve farkındalığı artıracak. Yeni yapılacak tük..
yerlituket.com",,3,4,"['YerliTüket', 'yerliurun', 'yerliuretim', 'yerliuretici', 'Yerli']"
Data Bilim,@databilim,2019-01-01T01:06:07.000Z,Data signage kurumsal tv çözümler https://datasignage.net   #datasignage #digitalsignage #kurumsaltv #yerliurun,,,,1,"['datasignage', 'digitalsignage', 'kurumsaltv', 'yerliurun']"
Simdata Akademi,@SimdataAkademi,2021-08-12T10:54:12.000Z,"Teknoloji Odaklı Sanayi Hamlesi Programı kapsamında; Sağlık ve Kimya Ürünleri çağrısı, 10 Ağustos 2021 tarihi itibarıyla açılmış olup, başvurular 13 Eylül 2021 tarihine kadar yapılabilecektir. 
#yerliurun #tıbbicihaz #saglik #hamleprogramı #simdata","ANASAYFA
Danışmanlık, Araştırma ve Çözüm Ortağı Uzman Ekibimiz ile Çözüm sırası sizde Kurumsal Danışmanlık İhale, Sağlık Sektörü, KÖİ, Finans, Yatırım Danışmanlığı ve Belediye Şirketleri için Mentörlük...
simdata.org",,2,4,"['yerliurun', 'tıbbicihaz', 'saglik', 'hamleprogramı', 'simdata']"
furkan şahin,@grabo52,2019-01-01T09:46:40.000Z,Güne yerli markamiz Dinamik ile #enerjik baslayin. #dinamikenerjiicecegi #dinamikicecek #dinamik #yerliuretim #yerlimali #milli #yerlimarka #dinamikk #yerliurun #yerlimallyurdunmali… https://instagram.com/p/BsFkHcYBatV/?utm_source=ig_twitter_share&igshid=1svq5mov6vz5v…,,,,1,"['enerjik', 'dinamikenerjiicecegi', 'dinamikicecek', 'dinamik', 'yerliuretim', 'yerlimali', 'milli', 'yerlimarka', 'dinamikk', 'yerliurun', 'yerlimallyurdunmali']"
Akedaş Perakende,@AkedasPerakende,2019-12-12T06:55:48.000Z,"Geleceğimizi koruyacak bütün varlıklarımıza, milli servetimize, yerli ürünlerimize sahip çıkalım. Tutum, yatırım ve Türk Malları Haftamız kutlu olsun. 
#akedaşperakende #kahramanmaraş #adıyaman #herkeseyetecekkadarenerjimizvar #tutumhaftası #yerliurun #turkmali",,,,3,"['akedaşperakende', 'kahramanmaraş', 'adıyaman', 'herkeseyetecekkadarenerjimizvar', 'tutumhaftası', 'yerliurun', 'turkmali']"
harun,@harun51062402,2021-01-16T09:20:12.000Z,"https://youtu.be/z5EtQiSK4p0
#teknofalt #yol #asfalt #plent #türkiye #yerliürünedestek #yerliurun",,,,,"['teknofalt', 'yol', 'asfalt', 'plent', 'türkiye', 'yerliürünedestek', 'yerliurun']"
Simdata Akademi,@SimdataAkademi,2021-02-28T13:14:05.000Z,"Sanayi ve Teknoloji Bakanlığı tarafından 27.02.2021 tarihli 31408 Sayılı Resmî Gazete yayımlanan ""Öncelikli Ürün Tebliği""nde değişiklik yapılarak listeye yeni ürünler eklenmiştir. #ilac #yerliuretim #yerliurun #kimyasanayi #tıbbicihaz #saglik #sanayi",,,1,3,"['ilac', 'yerliuretim', 'yerliurun', 'kimyasanayi', 'tıbbicihaz', 'saglik', 'sanayi']"
Cem Seymen,@cemseymen,2020-04-09T17:35:10.000Z,"Salgın geçtikten sonra alışkanlıklarımızı değiştireceğiz. Eskisi gibi olamayız. İthal gıda yiyemeyiz. Kimyasalla zehirlendiğimiz yeter. Üniversiteler yerel tohum ıslahı yapacak, özel sektör destekleyecek. Ben de vakıf kuracağım. Hedef 1 milyon üyeyle başlamak! Var mısınız?",,5.8K,13.3K,103.3K,[]
N. Ayşe Odman Boztosun,@nayseodman,2020-04-11T19:57:15.000Z,"Vakıf, kooperatif hukuku, tarım ve gıda mevzuatı, bitki ıslahçı hakkı... Hukuk desteği lazım olursa hazır ım.  
@cemseymen
 #yerliurun #yerlitohum",,,,1,"['yerliurun', 'yerlitohum']"
Tugay ÖCAL,@tugaysocal,2019-11-14T21:47:24.000Z,"Evren Özden Photography Web sitesi ve mezun platformunu yayına aldık 

Designed with love in Canakkale 
. #troasteknoloji #php #fotocrm #yerliurun #yerliüretim #yerliyazilim #saasturkiye #teknoloji #phpkod @… https://instagram.com/p/B43Ij0Yg-e-/?igshid=1lasv9exf2krx…",,,,,"['troasteknoloji', 'php', 'fotocrm', 'yerliurun', 'yerliüretim', 'yerliyazilim', 'saasturkiye', 'teknoloji', 'phpkod']"
